Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,83.375,-83.15,45,top
C2,0.1uF,C_0402_1005Metric,76.275,-78.55,180,top
C3,0.1uF,C_0402_1005Metric,80.35,-79.225,90,top
C4,0.1uF,C_0402_1005Metric,82.5,-81.995,90,top
C5,0.1uF,C_0402_1005Metric,73.95,-84.075,180,top
C6,0.1uF,C_0402_1005Metric,79.425,-79.675,90,top
C7,0.1uF,C_0402_1005Metric,83.775,-84.7,0,top
C8,0.1uF,C_0402_1005Metric,73.475,-88.85,180,top
C9,0.1uF,C_0402_1005Metric,80.6,-94.075,-90,top
C10,0.1uF,C_0402_1005Metric,81.65,-94.2,-90,top
C11,0.1uF,C_0402_1005Metric,78.4,-80.67,90,top
C12,1uF,C_0402_1005Metric,81.475,-82.05,90,top
C13,10uF,C_0603_1608Metric,76.175,-72.1,180,top
C14,10uF,C_0603_1608Metric,75.375,-66.65,180,top
C15,33pF,C_0402_1005Metric,80.65,-95.95,90,top
C16,33pF,C_0402_1005Metric,75.2,-95.9,-90,top
C17,0.1uF,C_0402_1005Metric,84.35,-88.825,0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,78.7,-60.6,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,69.81,-59.47,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,87.59,-59.47,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,76.16,-107.69,90,top
R1,5.1K,R_0402_1005Metric,81.25,-66.4,180,top
R2,5.1K,R_0402_1005Metric,77.675,-66.9,90,top
R3,27,R_0402_1005Metric,79.375,-82.3125,-90,top
R4,27,R_0402_1005Metric,80.425,-82.3125,90,top
R5,1K,R_0402_1005Metric,78.975,-93.725,0,top
R6,1K,R_0402_1005Metric,74.35,-77.275,180,top
R7,10K,R_0402_1005Metric,74.15,-78.55,180,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,76.225,-74.725,0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,78.7,-87.6,0,top
U2,MCP1700x-300xxTT,SOT-23,76.185,-69.3225,90,top
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,75.15,-80.3,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,77.95,-95.95,180,top
